Tree,Acc_Temp,Leaf_Temp,Nitrogen,CO2,Photo,Cond,Total_mg,N_mg,C_mg,N_Percent,C_Percent,CN,LMA,SLA
tree19,6,2,HN,400,24.23465841,0.071410238,1.961,0.049,0.937,2.5,47.77,19.12244898,5.59490525,0.178734037
tree20,6,18,LN,2000,12.77216285,0.055342041,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,2,LN,2000,3.208274007,0.056067198,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,6,LN,2000,4.524014994,0.056607499,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,10,LN,2000,7.200737611,0.057681243,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,14,LN,2000,10.10479838,0.057710483,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,2,LN,400,1.554291571,0.057184028,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,14,LN,400,4.870701846,0.057416474,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,6,LN,400,2.238211304,0.057447666,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,10,LN,400,3.880408363,0.05818161,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree20,6,18,LN,400,5.414021987,0.059637679,1.595,0.026,0.743,1.62,46.6,28.57692308,6.410252341,0.156000099
tree21,6,18,HN,2000,12.92303191,0.031980507,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,14,HN,2000,10.76790272,0.034405025,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,10,HN,2000,7.886837917,0.035520215,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,6,HN,2000,5.019131245,0.035881639,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,2,HN,2000,3.024275478,0.036600977,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,14,HN,400,3.701705927,0.033035212,2.058,0.046,0.743,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,10,HN,400,3.426534326,0.035678718,2.058,0.046,0.743,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,6,HN,400,2.522100731,0.037037765,2.058,0.046,0.743,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,18,HN,400,4.374383101,0.037257268,2.058,0.046,0.743,2.22,48.24,21.58695652,6.227433582,0.160579794
tree21,6,2,HN,400,1.196782638,0.037796576,2.058,0.046,0.993,2.22,48.24,21.58695652,6.227433582,0.160579794
tree22,6,18,LN,2000,13.85404281,0.053622476,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,2,LN,2000,3.987787765,0.054726379,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,14,LN,2000,11.24416748,0.056334666,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,10,LN,2000,8.23206468,0.058372129,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,6,LN,2000,5.996828606,0.058408652,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,18,LN,400,5.254803133,0.053910764,1.752,0.035,0.743,2,49.13,24.6,6.521477921,0.153339475
tree22,6,14,LN,400,4.857546924,0.054552812,1.752,0.035,0.743,2,49.13,24.6,6.521477921,0.153339475
tree22,6,2,LN,400,1.909376424,0.056333652,1.752,0.035,0.861,2,49.13,24.6,6.521477921,0.153339475
tree22,6,10,LN,400,4.316967047,0.057444482,1.752,0.035,0.743,2,49.13,24.6,6.521477921,0.153339475
tree22,6,6,LN,400,3.295409412,0.057661165,1.752,0.035,0.743,2,49.13,24.6,6.521477921,0.153339475
tree23,6,18,HN,2000,14.27960372,0.027583903,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,2,HN,2000,4.444135696,0.032854938,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,6,HN,2000,6.32697327,0.033814339,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,14,HN,2000,11.78926739,0.034401196,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,10,HN,2000,9.188959583,0.034470586,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,18,HN,400,2.902069411,0.021352241,2.335,0.051,0.743,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,14,HN,400,3.70419379,0.033283347,2.335,0.051,0.743,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,6,HN,400,2.737781003,0.033880091,2.335,0.051,0.743,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,10,HN,400,3.436917109,0.034607387,2.335,0.051,0.743,2.17,48.82,22.35294118,7.988195278,0.125184721
tree23,6,2,HN,400,1.945331454,0.034951056,2.335,0.051,1.14,2.17,48.82,22.35294118,7.988195278,0.125184721
tree24,6,18,LN,2000,11.63575584,0.032647279,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,14,LN,2000,9.648062013,0.040263921,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,2,LN,2000,3.021443642,0.040523027,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,6,LN,2000,4.751363428,0.041103794,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,10,LN,2000,7.291071928,0.041577684,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,14,LN,400,3.977717839,0.038254822,2.169,0.044,0.743,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,18,LN,400,4.351226523,0.040049081,2.169,0.044,0.743,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,10,LN,400,3.56949238,0.041176035,2.169,0.044,0.743,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,6,LN,400,2.241837236,0.041852432,2.169,0.044,0.743,2.04,48.76,24.04545455,6.245276926,0.160121002
tree24,6,2,LN,400,1.655231886,0.04213082,2.169,0.044,1.058,2.04,48.76,24.04545455,6.245276926,0.160121002
tree25,6,18,HN,2000,3.683048124,0.04557631,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,10,HN,2000,2.081860721,0.047281942,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,2,HN,2000,1.332892221,0.047312682,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,6,HN,2000,1.569286791,0.047528747,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,14,HN,2000,2.682529375,0.048378177,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,14,HN,400,1.06171261,0.046418704,1.259,0.035,0.743,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,10,HN,400,0.722672419,0.047604947,1.259,0.035,0.743,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,6,HN,400,0.49524611,0.047847153,1.259,0.035,0.743,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,2,HN,400,0.181663598,0.048269486,1.259,0.035,0.581,2.77,46.16,16.6,4.287885897,0.233215161
tree25,6,18,HN,400,1.219774706,0.050169178,1.259,0.035,0.743,2.77,46.16,16.6,4.287885897,0.233215161
tree26,6,18,LN,2000,15.2396873,0.032286833,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,2,LN,2000,4.509317005,0.033165525,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,10,LN,2000,9.580075988,0.034244178,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,14,LN,2000,12.61912894,0.034565388,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,6,LN,2000,6.356189239,0.035545252,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,18,LN,400,4.096115601,0.024517433,2.696,0.054,0.743,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,14,LN,400,4.108540569,0.034156363,2.696,0.054,0.743,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,6,LN,400,3.21041389,0.034986458,2.696,0.054,0.743,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,10,LN,400,4.010839685,0.035212288,2.696,0.054,0.743,2,48.38,24.14814815,6.846117702,0.146068187
tree26,6,2,LN,400,2.164992463,0.035627271,2.696,0.054,1.304,2,48.38,24.14814815,6.846117702,0.146068187
tree27,6,18,HN,2000,10.61424867,0.015673534,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,6,HN,2000,4.460954697,0.018077492,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,2,HN,2000,3.280646381,0.018424168,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,10,HN,2000,7.119864546,0.018664342,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,14,HN,2000,8.50166734,0.018739965,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,18,HN,400,0.952743942,0.009439242,3.024,0.057,0.743,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,14,HN,400,1.611789708,0.018971715,3.024,0.057,0.743,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,6,HN,400,1.518467907,0.019187436,3.024,0.057,0.743,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,10,HN,400,1.871087818,0.020217483,3.024,0.057,0.743,1.88,48.61,25.78947368,6.486285015,0.154171455
tree27,6,2,HN,400,1.373634314,0.021419415,3.024,0.057,1.47,1.88,48.61,25.78947368,6.486285015,0.154171455
tree28,6,6,LN,2000,2.412417193,0.051759321,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,2,LN,2000,2.422237962,0.051775037,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,10,LN,2000,2.735357397,0.05483435,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,14,LN,2000,3.794290468,0.058275581,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,18,LN,2000,4.840221537,0.062453538,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,6,LN,400,0.602013027,0.051762579,1.348,0.032,0.743,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,2,LN,400,0.215206141,0.052630834,1.348,0.032,0.646,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,10,LN,400,1.514282319,0.055681218,1.348,0.032,0.743,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,14,LN,400,1.60515819,0.057802674,1.348,0.032,0.743,2.37,47.92,20.1875,5.937454608,0.16842234
tree28,6,18,LN,400,2.198492596,0.066243458,1.348,0.032,0.743,2.37,47.92,20.1875,5.937454608,0.16842234
tree29,10,18,HN,2000,16.76764211,0.041804818,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,14,HN,2000,14.11805824,0.045390638,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,10,HN,2000,10.47998933,0.045554611,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,2,HN,2000,5.640676741,0.04622091,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,6,HN,2000,7.447112353,0.047174488,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,18,HN,400,6.125287392,0.036412962,1.714,0.04,0.743,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,14,HN,400,5.61672957,0.045179353,1.714,0.04,0.743,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,10,HN,400,5.287507568,0.045831184,1.714,0.04,0.743,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,6,HN,400,4.317776998,0.047110474,1.714,0.04,0.743,2.35,48.88,20.95,6.803716941,0.146978484
tree29,10,2,HN,400,2.90172779,0.047990556,1.714,0.04,0.838,2.35,48.88,20.95,6.803716941,0.146978484
tree30,10,2,LN,2000,3.495348192,0.044348501,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,6,LN,2000,6.386043739,0.044823794,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,10,LN,2000,8.773974074,0.047067179,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,14,LN,2000,12.6850086,0.050939784,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,18,LN,2000,16.58942742,0.054451482,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,6,LN,400,2.552811979,0.045063083,1.546,0.024,0.743,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,2,LN,400,1.57385008,0.046081757,1.546,0.024,0.749,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,10,LN,400,4.844143113,0.047650446,1.546,0.024,0.743,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,14,LN,400,5.657852077,0.052226147,1.546,0.024,0.743,1.53,48.42,31.20833333,7.731580331,0.129339664
tree30,10,18,LN,400,6.57992429,0.055173837,1.546,0.024,0.743,1.53,48.42,31.20833333,7.731580331,0.129339664
tree31,10,18,HN,2000,15.58541978,0.049356475,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,14,HN,2000,12.03373171,0.052900566,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,6,HN,2000,5.762197445,0.053295769,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,2,HN,2000,4.114677536,0.053728255,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,10,HN,2000,8.270537302,0.053781058,1.894,0.033,0.912,1.73,48.18,27.63636364,7.598520163,0.131604573
tree31,10,14,HN,400,5.863010567,0.04817395,1.894,0.033,0.743,1.73,48.18,27.63636364,7.598520163,0.131604573
