Tree,Acc_Temp,Leaf_Temp,Nitrogen,Vcmax,Vcmax_DW,Vcmax_N,Jmax,Jmax_DW,Jmax_N,Rd,Rd_DW,Rd_N
tree26,6,14,LN,27.7578825,0.405454366,20.24268462,79.23533363,1.157376177,57.78307727,2.622849476,0.038311488,1.91273649
tree27,6,14,HN,20.58840057,0.317414378,16.83966803,64.52175934,0.994741384,52.77364816,1.217724155,0.018773831,0.996001144
tree28,6,14,LN,6.741362629,0.113539607,4.78285594,21.9162875,0.369119243,15.54914809,1.437239671,0.024206327,1.019691519
tree29,10,14,HN,26.32650786,0.386943011,16.58050802,76.16096431,1.119402277,47.96638757,1.458037432,0.021430013,0.918276038
tree30,10,14,LN,23.21504484,0.300262601,19.34191586,70.18973505,0.907831647,58.47948858,1.564344097,0.020233173,1.303353584
tree31,10,14,HN,21.34453703,0.280903862,16.12217922,60.99104018,0.802669962,46.06839113,1.677690614,0.022079175,1.267210842
tree32,10,14,LN,12.47645152,0.197879703,11.98271532,36.94974152,0.586032323,35.48751288,0.741527488,0.011760815,0.712182689
tree33,10,14,HN,16.74477613,0.246239703,11.50291182,51.14935462,0.752174993,35.13731753,0.482877242,0.007100934,0.331715055
tree34,10,14,LN,19.94037297,0.295237302,17.1791205,56.79728379,0.840940981,48.93225336,1.201955855,0.017796167,1.035514456
tree35,10,14,HN,11.48073922,0.173366372,8.578424934,37.65948428,0.568681863,28.13922106,1.176039035,0.017758928,0.878738066
tree36,10,14,LN,13.40873516,0.218416027,9.966011277,40.36664552,0.65753572,30.00241557,0.985876662,0.016059029,0.73275054
tree37,10,14,HN,19.99803293,0.266718905,14.54507093,59.57349974,0.794547077,43.32930057,1.791383247,0.023892139,1.302917966
tree38,10,14,LN,21.702677,0.301074792,20.91752962,62.96204289,0.873453721,60.68423711,2.060912682,0.02859043,1.986354129
tree39,10,14,HN,5.33455563,0.10386415,4.562422793,18.97603016,0.36946456,16.22940663,1.104896114,0.0215124,0.944971533
tree40,10,14,LN,18.95119699,0.23380791,18.43185692,59.12307712,0.729423219,57.50286375,0.848500727,0.010468267,0.825248347
tree41,10,14,HN,19.56396548,0.296716628,17.35792274,54.71039845,0.829764547,48.54122599,1.207228998,0.018309423,1.07110124
tree42,10,14,LN,18.98421906,0.233816837,18.23771328,53.26753265,0.656063121,51.1729234,1.463052656,0.018019511,1.405521858
tree15,6,18,HN,4.356769207,0.107419709,4.266490478,14.3042255,0.352682381,14.0078207,1.24780599,0.030765677,1.221949597
tree16,6,18,LN,27.52397021,0.465133298,19.15718497,67.08145324,1.133623431,46.6899142,2.152257827,0.036371453,1.498010678
tree17,6,18,HN,41.89230678,0.741065146,28.01932028,90.9686514,1.609214248,60.84362441,1.858265331,0.032872281,1.242885281
tree18,6,18,LN,37.21467166,0.597746448,29.336458,80.35818276,1.290722614,63.34664122,1.061614335,0.017051775,0.836874355
tree19,6,18,HN,32.2395347,0.576230228,23.06096894,75.85250106,1.355742396,54.25736405,1.392988185,0.024897441,0.996405735
tree20,6,18,LN,26.75560109,0.417387645,25.60512666,70.46300385,1.099223565,67.43313791,1.855538395,0.028946418,1.775751383
tree21,6,18,HN,26.66532627,0.428191249,19.15690416,73.29462468,1.176963544,52.65632551,2.110988379,0.033898207,1.516576307
tree22,6,18,LN,26.64356521,0.408551017,20.45089662,73.89641823,1.133123761,56.72093796,1.423033606,0.021820722,1.092282993
tree23,6,18,HN,27.3970987,0.342969813,15.70263752,78.76387117,0.986003316,45.14348515,2.116001274,0.026489103,1.212785388
tree24,6,18,LN,22.42495935,0.359070692,17.70055295,64.51462098,1.033014563,50.92292242,1.817808688,0.029106935,1.434839566
tree25,6,18,HN,6.668984444,0.155530827,5.594666049,20.38584789,0.475428878,17.10185591,1.13456575,0.026459793,0.951796565
tree26,6,18,LN,46.63156657,0.681138853,34.0064879,103.5028213,1.511846976,75.48036015,2.284622606,0.033371069,1.666081513
tree27,6,18,HN,21.68534889,0.33432619,17.73688418,65.57972939,1.011052263,53.6389832,1.623334959,0.025027192,1.327758401
tree28,6,18,LN,10.28024079,0.173142221,7.293616059,38.44813914,0.647552556,27.27815144,1.2150324,0.02046386,0.862040102
tree29,10,18,HN,36.76135902,0.540312867,23.15240636,85.48206604,1.256402413,53.83684341,2.304052145,0.033864608,1.451098462
tree30,10,18,LN,32.53478566,0.420803812,27.10677886,89.02356126,1.151427715,74.17113528,1.78777768,0.023123056,1.489510173
